,Model,Precision,Recall,f1 Score,Accuracy(Training),Accuracy(Test),Training Time,Testing Time (Train),TestingTime
0,KNN,0.9731101243191554,0.9721085340766041,0.9720934474530949,0.9998456439498549,0.9721085340766041,0.4798276424407959,7165.193408250809,3097.4727103710175
0,KNN,0.9732358606473581,0.9722436826738802,0.972228948580265,0.9998587806349736,0.9722436826738802,0.5176160335540771,7180.388546466827,3048.4675056934357
0,KNN,0.9730778863033596,0.9720750952484122,0.9720603394081206,0.9998563921467702,0.9720750952484122,0.5006554126739502,7148.671991109848,3097.3299028873444
0,KNN,0.9727484421421498,0.9717295606904282,0.9717143592138681,0.9998432554616514,0.9717295606904282,0.4857006072998047,7343.329832315445,3069.4308862686157
0,KNN,0.9730548194140878,0.9720583758343162,0.9720436388402243,0.9998483309990838,0.9720583758343162,0.48171186447143555,7218.660932779312,3104.6598393917084
0,KNN,0.9729801979677634,0.9719643291300262,0.9719495620005527,0.9998560935857448,0.9719643291300262,0.4936792850494385,7269.229261875153,3107.020169734955
0,KNN,0.9731001964329776,0.9720918146625082,0.9720769591729698,0.9998462410719058,0.9720918146625082,0.49567151069641113,7183.10741519928,3050.940418958664
0,KNN,0.9729926228064781,0.9719789586173602,0.9719643824998463,0.9998587806349736,0.9719789586173602,0.4976656436920166,7175.0074009895325,3108.1394476890564
0,KNN,0.9729136018696508,0.9719113843187221,0.9718957131192203,0.9998557950247193,0.9719113843187221,0.49268579483032227,7205.845072031021,3060.8200240135193
0,KNN,0.9730045744901792,0.9720096108765361,0.9719950452009157,0.9998608705621516,0.9720096108765361,0.48463964462280273,7206.887909173965,3117.9164724349976
0,KNN,0.9730524138506604,0.9720465329159982,0.9720310665380625,0.9998435540226769,0.9720465329159982,0.49564218521118164,7190.363585233688,3072.1210629940033
0,KNN,0.9731204815130621,0.9721280400597162,0.9721135847804511,0.9998581835129228,0.9721280400597162,0.5006632804870605,7204.939460039139,3096.1003980636597
0,KNN,0.9730413069073989,0.9720402631357122,0.9720247892945101,0.9998480324380583,0.9720402631357122,0.4966714382171631,7149.8702647686005,3120.90850687027
0,KNN,0.9731787157473059,0.9721754117329882,0.9721604666106386,0.9998456439498549,0.9721754117329882,0.49968671798706055,7247.435292005539,3057.3036680221558
0,KNN,0.972823311373398,0.9718103711918922,0.9717953069121328,0.9998510180483126,0.9718103711918922,0.4876976013183594,7185.250598669052,3100.2339725494385
0,KNN,0.9730654695352597,0.9720514094117761,0.972036324974761,0.9998474353160074,0.9720514094117761,0.5036463737487793,7150.677747249603,3055.7477095127106
0,KNN,0.972975115629996,0.9719608459187562,0.9719455920545027,0.9998557950247193,0.9719608459187562,0.4837160110473633,7229.97767162323,3117.881923675537
0,KNN,0.9729388845803462,0.9719294970173262,0.9719138987755657,0.9998581835129228,0.9719294970173262,0.4896984100341797,7221.547440767288,3061.463001728058
0,KNN,0.9730086843779735,0.9720186672258382,0.9720038763712747,0.9998537050975413,0.9720186672258382,0.48776984214782715,7216.82878613472,3101.2401061058044
0,KNN,0.9729951203740526,0.9719740821215822,0.9719589731137597,0.9998543022195923,0.9719740821215822,0.5006630420684814,7190.551967382431,3109.293023109436
0,KNN,0.9729917139624801,0.9720033410962502,0.9719885431394747,0.9998620648062533,0.9720033410962502,0.48673129081726074,7174.621632575989,3068.9066038131714
0,KNN,0.9730039648598904,0.9719921948201862,0.9719767592875159,0.9998531079754905,0.9719921948201862,0.49466514587402344,7239.521883964539,3109.280039548874
0,KNN,0.9729359797367404,0.9719113843187221,0.971896803180742,0.9998572878298465,0.9719113843187221,0.5714666843414307,7266.21093416214,3057.9707095623016
0,KNN,0.9729644843998335,0.9719559694229782,0.9719415726260385,0.9998477338770329,0.9719559694229782,0.5016517639160156,7203.500853300095,3103.792247772217
0,KNN,0.97313155579015,0.9721308266287322,0.9721160697800022,0.9998557950247193,0.9721308266287322,0.485703706741333,7180.281216144562,3055.210417985916
0,KNN,0.9729470744987646,0.9719072044651982,0.97189252652194,0.999847136754982,0.9719072044651982,0.4897117614746094,7235.588850975037,3152.340534210205
0,KNN,0.9729986490505339,0.9719789586173602,0.9719630172690156,0.9998501223652363,0.9719789586173602,0.5155916213989258,7286.830297470093,3119.9151117801666
0,KNN,0.9727964317722912,0.9717525498848102,0.9717379369945133,0.9998543022195923,0.9717525498848102,0.4881417751312256,7193.395299434662,3058.930141210556
0,KNN,0.9730990849610023,0.9720897247357462,0.9720754308991268,0.9998537050975413,0.9720897247357462,0.5435774326324463,7157.709501743317,3079.403343439102
0,KNN,0.972797046769373,0.9717790222904622,0.9717642437755373,0.9998495252431854,0.9717790222904622,0.5006899833679199,7199.549682378769,3090.4011924266815
