,Model,Precision,Recall,f1 Score,Accuracy(Training),Accuracy(Test),Training Time,Testing Time (Train),TestingTime
0,NB,0.3806003319807626,0.21703767325530526,0.14341400058399262,0.21698498290308943,0.21703767325530526,1.366377592086792,2.700382709503174,1.1524174213409424
1,NB,0.4399456224779773,0.2197456953692444,0.14868756695694407,0.21949242180046424,0.2197456953692444,1.3648290634155273,2.724195957183838,1.1784682273864746
2,NB,0.3722383847452069,0.19535365389285264,0.1163235850962069,0.19604632930706895,0.19535365389285264,1.35050368309021,2.6931445598602295,1.1561391353607178
3,NB,0.4570836876801908,0.18587179697960102,0.10762234482806894,0.1856675084188719,0.18587179697960102,1.338568925857544,2.6928000450134277,1.1802494525909424
4,NB,0.3868170282716478,0.19647522481024476,0.11800140777780264,0.19692304203523697,0.19647522481024476,1.3455123901367188,2.6943039894104004,1.129223108291626
5,NB,0.4427155353635024,0.21988459252582118,0.14979784373943367,0.219711903693613,0.21988459252582118,1.3646695613861084,2.6986050605773926,1.2079663276672363
6,NB,0.38496161039787713,0.31107482777225026,0.15677389684692675,0.3120299564437778,0.31107482777225026,1.379443645477295,2.639333963394165,1.1521661281585693
7,NB,0.37480117548354674,0.27660565585442065,0.19478572850078166,0.2760442397746545,0.27660565585442065,1.3764092922210693,2.6702558994293213,1.1880261898040771
8,NB,0.4075315772869786,0.18231905338280718,0.09627833487007943,0.18202904935993897,0.18231905338280718,1.3766379356384277,2.6541733741760254,1.0983343124389648
9,NB,0.29731196449114167,0.3072055498390399,0.1803203052427978,0.30729408791910107,0.3072055498390399,1.3517794609069824,2.7538070678710938,1.1561334133148193
10,NB,0.43610590191558846,0.30935042429774257,0.1498575254084324,0.30905642223456864,0.30935042429774257,1.3574776649475098,2.6938729286193848,1.1526074409484863
11,NB,0.3994986474519046,0.3158360711191237,0.17025267572967254,0.31632443149330297,0.3158360711191237,1.3544824123382568,2.7011678218841553,1.1881158351898193
12,NB,0.3467882056429709,0.3026474553946427,0.15258498430542589,0.30211844571184215,0.3026474553946427,1.3455243110656738,2.7149438858032227,1.151313066482544
13,NB,0.34063336878341344,0.30226194491924596,0.15210018916516632,0.3025966894679467,0.30226194491924596,1.3903629779815674,2.7369301319122314,1.1930186748504639
14,NB,0.332282372949594,0.25183377317432915,0.1764092262993182,0.25172872361965326,0.25183377317432915,1.3216533660888672,2.69610857963562,1.1533176898956299
15,NB,0.33102297615531173,0.25956665976905274,0.18376234596460647,0.2592433462970732,0.25956665976905274,1.3340318202972412,2.6870169639587402,1.1850364208221436
16,NB,0.293372526794674,0.3085283799016759,0.1488102451628062,0.3086879194250384,0.3085283799016759,1.4003334045410156,2.6732544898986816,1.1532118320465088
17,NB,0.45126684264960226,0.321605499949449,0.194393763453988,0.3211611321054226,0.321605499949449,1.3924753665924072,2.6481423377990723,1.2116918563842773
18,NB,0.3765008950392117,0.2726248822445025,0.19204063241395886,0.2725126870252995,0.2726248822445025,1.3895678520202637,2.6850781440734863,1.1292212009429932
19,NB,0.3777778793853834,0.21226603624365395,0.1382319524072549,0.2128966264580158,0.21226603624365395,1.3784122467041016,2.7427985668182373,1.1514241695404053
20,NB,0.3975287820314109,0.3123475792682293,0.15846463483834453,0.3118724316164072,0.3123475792682293,1.3617630004882812,2.6872949600219727,1.1671032905578613
21,NB,0.37460199525264276,0.39541658280868947,0.24956562273338034,0.3958756841598865,0.39541658280868947,1.3674390316009521,2.656468152999878,1.1760663986206055
22,NB,0.46153547160623337,0.32487383508277606,0.20158520081777812,0.3238665906444021,0.32487383508277606,1.380359172821045,2.706106185913086,1.1581263542175293
23,NB,0.2880958430812948,0.3074767300018803,0.14768194666273832,0.3091779066772709,0.3074767300018803,1.3568568229675293,2.7071216106414795,1.193023443222046
24,NB,0.3838538998591928,0.31191671461925646,0.1575171387200648,0.31167805650808356,0.31191671461925646,1.3458850383758545,2.6931216716766357,1.1671013832092285
25,NB,0.31726026212273145,0.2997107726555908,0.1416615785687309,0.30047273646136874,0.2997107726555908,1.3925056457519531,2.641446828842163,1.1750783920288086
26,NB,0.46118822087826805,0.18512723263006017,0.10722980842269766,0.18557599013870285,0.18512723263006017,1.4138169288635254,2.6152524948120117,1.1378791332244873
27,NB,0.43619948068561737,0.2248990633418278,0.16305426531908904,0.22468142729642043,0.2248990633418278,1.3896894454956055,2.678225040435791,1.2184717655181885
28,NB,0.32327277616125033,0.2866752272669292,0.17976141336766244,0.28726049342121246,0.2866752272669292,1.4216547012329102,2.647117853164673,1.1491923332214355
29,NB,0.3445854936256568,0.30280525012354287,0.15357072825439375,0.302715744221795,0.30280525012354287,1.367443561553955,2.7293648719787598,1.1979930400848389
