,Model,Precision,Recall,f1 Score,Accuracy(Training),Accuracy(Test),Training Time,Testing Time (Train),TestingTime
0,NB,0.9528341664013041,0.947931564651536,0.947788880458562,0.9478924427934683,0.947931564651536,1.3426012992858887,1.4585278034210205,0.54351806640625
1,NB,0.7279088401735161,0.5296689486344767,0.3991068518614246,0.5294015433813648,0.5296689486344767,1.3075335025787354,1.472038984298706,0.5374259948730469
2,NB,0.9509377249268528,0.9463905919856882,0.946255320843104,0.9465378714211117,0.9463905919856882,1.2965049743652344,1.4630887508392334,0.5475389957427979
3,NB,0.7259157089808421,0.5295303168259307,0.3988691209933724,0.5293113779516863,0.5295303168259307,1.3085033893585205,1.4630885124206543,0.5405550003051758
4,NB,0.9528891895158186,0.947993565812142,0.9478525751230451,0.9478527341770867,0.947993565812142,1.3045129776000977,1.4710686206817627,0.5505261421203613
5,NB,0.9513538005498178,0.9465821686055381,0.9464418930239925,0.947059158971505,0.9465821686055381,1.3314404487609863,1.5238981246948242,0.5565149784088135
6,NB,0.9528292967090762,0.9479406210008381,0.9477998358633994,0.9478697521555359,0.9479406210008381,1.3085010051727295,1.496002435684204,0.5674850940704346
7,NB,0.7250899358322711,0.5302506449165666,0.4001916873489876,0.5295723202879083,0.5302506449165666,1.3324363231658936,1.510960578918457,0.5495331287384033
8,NB,0.9537712177788191,0.949096350500224,0.9489617087078074,0.9491807336181804,0.949096350500224,1.3094985485076904,1.4760541915893555,0.545149564743042
9,NB,0.9534602592986233,0.948692994635158,0.9485584685568137,0.9484283598341076,0.948692994635158,1.3204700946807861,1.530907154083252,0.5595047473907471
10,NB,0.8767639685147389,0.8592545788553749,0.8575839868118276,0.8592634081517311,0.8592545788553749,1.3573715686798096,1.51893949508667,0.5754623413085938
11,NB,0.727617779441047,0.5285348150449648,0.3964665036549042,0.5282219287699077,0.5285348150449648,1.3643527030944824,1.5199368000030518,0.5585076808929443
12,NB,0.9527804395185919,0.947893249327566,0.947749353863973,0.9477539104776708,0.947893249327566,1.3573706150054932,1.5049779415130615,0.5575096607208252
13,NB,0.8770196707408413,0.859514426416117,0.857859484083487,0.8591257715190098,0.859514426416117,1.3683414459228516,1.5299115180969238,0.556513786315918
14,NB,0.9522857424951716,0.9472648780144581,0.9471182982412764,0.9477521191115182,0.9472648780144581,1.3513875007629395,1.508042335510254,0.5605103969573975
15,NB,0.9525235157130012,0.9475456248428201,0.9474005428158767,0.9476332918233987,0.9475456248428201,1.3563766479492188,1.534898042678833,0.5644989013671875
16,NB,0.9530084234441801,0.948147523750276,0.948007145924635,0.9481895110137669,0.948147523750276,1.3533809185028076,1.5189428329467773,0.5652577877044678
17,NB,0.9530421950472372,0.9481802659362141,0.9480382641330497,0.9481506980804616,0.9481802659362141,1.3543744087219238,1.5299098491668701,0.5595107078552246
18,NB,0.9522513443820219,0.9473310590285882,0.9471867905475209,0.9470878208299459,0.9473310590285882,1.3394160270690918,1.5279204845428467,0.563495397567749
19,NB,0.9531397286055964,0.948295211908124,0.948156747752243,0.9481071081707494,0.948295211908124,1.3683395385742188,1.542884111404419,0.5654940605163574
20,NB,0.9532309904473136,0.948491665023752,0.9483559649565437,0.9484373166648703,0.948491665023752,1.357367992401123,1.5407013893127441,0.5933215618133545
21,NB,0.953200932008854,0.948372539198318,0.9482327650049714,0.948852913612263,0.948372539198318,1.486025333404541,1.694476842880249,0.6203410625457764
22,NB,0.7288415319395681,0.5300897205558927,0.3992922959837145,0.5294161728716107,0.5300897205558927,1.4521162509918213,1.653581142425537,0.6213359832763672
23,NB,0.9525999752827043,0.9476501211809201,0.9475090298648738,0.9477022594202721,0.9476501211809201,1.4840354919433594,1.6984601020812988,0.628563404083252
24,NB,0.8760978160011809,0.858697265052175,0.8570434234346257,0.858471624312302,0.858697265052175,1.4571025371551514,1.6565775871276855,0.5974369049072266
25,NB,0.9528418524797644,0.9479259915135041,0.947787545546735,0.948162939082504,0.9479259915135041,1.3154871463775635,1.488025188446045,0.5445530414581299
26,NB,0.9526272018447305,0.947736504820416,0.9475913847922776,0.9478303421001798,0.947736504820416,1.2845706939697266,1.4730591773986816,0.5455422401428223
27,NB,0.9522261792843715,0.9472230794792181,0.9470809404260077,0.9479136406262736,0.9472230794792181,1.3254549503326416,1.535872220993042,0.5585169792175293
28,NB,0.95311539164081,0.9482631663644401,0.9481268450820627,0.9482590757326912,0.9482631663644401,1.3025157451629639,1.4940404891967773,0.5574729442596436
29,NB,0.9525481362488176,0.9475769737442501,0.9474344241279152,0.9479434967288162,0.9475769737442501,1.3384218215942383,1.527918815612793,0.5535213947296143
