,Model,Precision,Recall,f1 Score,Accuracy(Training),Accuracy(Test),Training Time,Testing Time (Train),TestingTime
0,DT,0.9137542718102502,0.9137996687255572,0.9136767717844477,0.9504019515260875,0.9137996687255572,35.11914372444153,0.7516624927520752,0.36278653144836426
1,DT,0.914337780778974,0.9144185642191476,0.9143044113786097,0.9511417917821444,0.9144185642191476,35.482262134552,0.7773299217224121,0.326906681060791
2,DT,0.9133062815394901,0.9133603001690388,0.9132277923754477,0.950016440894579,0.9133603001690388,35.591357707977295,0.753486156463623,0.3637831211090088
3,DT,0.9142468107010381,0.914263604126096,0.9141481161142404,0.9507870572094538,0.914263604126096,34.93262696266174,0.7265729904174805,0.35879969596862793
4,DT,0.9138450135261975,0.9138497472922141,0.9137189980354553,0.9510859089385013,0.9138497472922141,34.75387954711914,0.7385327816009521,0.34982991218566895
5,DT,0.9143990029698728,0.9144573042424105,0.9143576595061969,0.9513365718386103,0.9144573042424105,34.672006130218506,0.7521352767944336,0.319929838180542
6,DT,0.9140934651687794,0.9141587225997012,0.9140459239456611,0.9514256604299254,0.9141587225997012,35.57125163078308,0.7873661518096924,0.3239166736602783
7,DT,0.9129605521151357,0.9130144745955211,0.9128908760931596,0.9489862528204638,0.9130144745955211,36.12506294250488,0.804314374923706,0.32192325592041016
8,DT,0.914810027845164,0.914863602047363,0.9147527547131071,0.9515495745614817,0.914863602047363,35.904117822647095,0.7744100093841553,0.3229198455810547
9,DT,0.9140546609280789,0.9141303762412162,0.9140326170683378,0.9514936917178386,0.9141303762412162,35.8911919593811,0.7813866138458252,0.34186577796936035
10,DT,0.9148219850567786,0.9148447044750396,0.9147234212358419,0.9511264037527354,0.9148447044750396,35.91314077377319,0.7664361000061035,0.3239166736602783
11,DT,0.9146211603027787,0.9146434453297957,0.9145318062161959,0.950960779962518,0.9146434453297957,35.83628225326538,0.7754108905792236,0.3259096145629883
12,DT,0.9148068402436219,0.9148324210530294,0.9147100884950383,0.9514127020893705,0.9148324210530294,35.86264157295227,0.7754063606262207,0.3388667106628418
13,DT,0.9140650231140115,0.9141218723336707,0.913998351353789,0.9503768447412624,0.9141218723336707,35.931934118270874,0.781400203704834,0.32790303230285645
14,DT,0.915461025428776,0.9154928912057313,0.9153876869649192,0.9518192700242807,0.9154928912057313,35.93592405319214,0.7754065990447998,0.3428530693054199
15,DT,0.9139793873613983,0.914062344980852,0.9139248944064353,0.950571219849586,0.914062344980852,35.992764472961426,0.762458086013794,0.35879993438720703
16,DT,0.9141939182809534,0.9141993523801965,0.9140876478743496,0.9504995440283918,0.9141993523801965,35.93682289123535,0.7574663162231445,0.342864990234375
17,DT,0.9128506021670828,0.912890695496803,0.9127891426705348,0.9500099617243016,0.912890695496803,35.959882736206055,0.7714283466339111,0.372753381729126
18,DT,0.9145176659919128,0.9145858077342094,0.9144698722970053,0.9512057735886342,0.9145858077342094,35.9836630821228,0.7544806003570557,0.3239169120788574
19,DT,0.9136932230297881,0.91373730673689,0.9136311672594772,0.9500014578133125,0.91373730673689,35.95590376853943,0.7694263458251953,0.3229200839996338
20,DT,0.9140212437789779,0.9140443922871448,0.9139197041756795,0.9508603528232175,0.9140443922871448,35.991825103759766,0.7664456367492676,0.32192325592041016
21,DT,0.9137777589413423,0.9138431331419009,0.9137211116368232,0.9508129738905636,0.9138431331419009,35.98979115486145,0.7714242935180664,0.33488917350769043
22,DT,0.9140929027787464,0.9141539982066204,0.9140349674724851,0.9507801730910339,0.9141539982066204,35.81433987617493,0.7744185924530029,0.326906681060791
23,DT,0.913589467360066,0.9136503779042026,0.913536054707445,0.949762133461189,0.9136503779042026,35.93493580818176,0.7823882102966309,0.33687353134155273
24,DT,0.9142188368544888,0.9142683285191768,0.9141371326276089,0.9513823309786948,0.9142683285191768,35.86217260360718,0.7734177112579346,0.3239166736602783
25,DT,0.9135164679455717,0.9135946300658486,0.913469864673869,0.9500869018713464,0.9135946300658486,36.040595054626465,0.7674381732940674,0.3239164352416992
26,DT,0.913451750970366,0.9135162051407066,0.9133918628601061,0.9509069218595867,0.9135162051407066,35.885104179382324,0.7893643379211426,0.3298966884613037
27,DT,0.9142643967965288,0.9142815568198032,0.9141618703297731,0.9507907017427348,0.9142815568198032,35.89661169052124,0.7773997783660889,0.3229198455810547
28,DT,0.9141170200938589,0.9141133684261251,0.9140019257100506,0.950763570217198,0.9141133684261251,35.79143142700195,0.7714200019836426,0.3229200839996338
29,DT,0.914309034602917,0.9143675407738745,0.9142377829891603,0.9507712642319025,0.9143675407738745,35.790435791015625,0.7933464050292969,0.3229198455810547
