,Model,Precision,Recall,f1 Score,Accuracy(Training),Accuracy(Test),Training Time,Testing Time (Train),TestingTime
0,KNN,0.7337945600836644,0.7330632870248324,0.7330344766448876,0.9991050646054266,0.7330632870248324,0.20310425758361816,3233.49338054657,1403.4400470256805
1,KNN,0.7347573281238381,0.7340081656410009,0.7339933581412322,0.9990880567834484,0.7340081656410009,0.18003606796264648,3253.3570251464844,1413.769252538681
2,KNN,0.7345962290754056,0.7338484811548684,0.7338528961204351,0.9990933211092987,0.7338484811548684,0.18749594688415527,3260.7605764865875,1402.676655292511
3,KNN,0.734102129546913,0.7333911599046429,0.7333792269788992,0.9991030398647149,0.7333911599046429,0.15629005432128906,3226.3675785064697,1388.1322853565216
4,KNN,0.7336655363274529,0.732965964527367,0.7329406522262416,0.999075908339178,0.732965964527367,0.19420123100280762,3232.9494581222534,1402.5042262077332
5,KNN,0.734316686560297,0.733599978078816,0.7335913334193596,0.9990831974057403,0.733599978078816,0.1562490463256836,3258.7683737277985,1392.2467765808105
6,KNN,0.7335478893927165,0.7328280122494064,0.73281888106706,0.999107899242423,0.7328280122494064,0.18747997283935547,3237.8250069618225,1398.4426567554474
7,KNN,0.734125064029403,0.7333429710952183,0.7333321483313959,0.9991002052277186,0.7333429710952183,0.16497015953063965,3278.9130284786224,1397.4305198192596
8,KNN,0.7340615815270273,0.7333486403669153,0.7333307370754811,0.9990985854351492,0.7333486403669153,0.15628290176391602,3262.445033311844,1397.4022011756897
9,KNN,0.7339155945554628,0.733184231487702,0.7331770362218913,0.9991062794498536,0.733184231487702,0.17442750930786133,3281.9869000911713,1410.786588191986
10,KNN,0.7351667316976785,0.7344484790761355,0.734426365261685,0.9990815776131708,0.7344484790761355,0.15620851516723633,3225.6374700069427,1404.6960999965668
11,KNN,0.7344354612766367,0.7336453322523921,0.7336387934380086,0.9990912963685871,0.7336453322523921,0.15623044967651367,3214.403245449066,1431.232833147049
12,KNN,0.7339876143423413,0.7331813968518535,0.7331743654163179,0.9990714539096124,0.7331813968518535,0.20310187339782715,3211.9794573783875,1421.9658706188202
13,KNN,0.7344870555450608,0.733728481570615,0.7337189686069745,0.9990937260574411,0.733728481570615,0.17185425758361816,3199.041050195694,1413.612841129303
14,KNN,0.7344870555450608,0.733728481570615,0.7337189686069745,0.9990937260574411,0.733728481570615,0.17185425758361816,3199.041050195694,1413.612841129303
15,KNN,0.7342364708549914,0.7335083248530477,0.7335005719732078,0.9991054695535689,0.7335083248530477,0.17185497283935547,3268.9945459365845,1409.9579944610596
16,KNN,0.7341067954872077,0.7333476954882991,0.7333382433375528,0.9990929161611564,0.7333476954882991,0.15624594688415527,3287.9614005088806,1409.0454523563385
17,KNN,0.734110196638983,0.7334270652920573,0.7333940806817639,0.999106684397996,0.7334270652920573,0.17186355590820312,3264.720582962036,1397.2750611305237
18,KNN,0.7336306309022875,0.7328733664229825,0.7328650717503019,0.9991107338794194,0.7328733664229825,0.1718602180480957,3252.5209391117096,1430.2641570568085
19,KNN,0.7343506146977602,0.7336018678360484,0.7335846620555867,0.9990908914204447,0.7336018678360484,0.17145490646362305,3278.1679701805115,1433.138833284378
20,KNN,0.7345262296630269,0.7338210796749995,0.7337989776496074,0.9990941310055834,0.7338210796749995,0.17185735702514648,3214.383406162262,1400.987860918045
21,KNN,0.7340451229500405,0.7333032861933392,0.7332767906140654,0.9991147833608428,0.7333032861933392,0.1719036102294922,3231.7054347991943,1410.8224701881409
22,KNN,0.7338671617855064,0.7331539953719846,0.7331447445280825,0.9990795528724592,0.7331539953719846,0.1875309944152832,3213.2115540504456,1409.204787015915
23,KNN,0.7344734057913734,0.7337332059636958,0.7337244320552576,0.9990912963685871,0.7337332059636958,0.17185711860656738,3280.0628983974457,1436.781084537506
24,KNN,0.7340351346929476,0.7333703725750872,0.7333392748409849,0.999123287271832,0.7333703725750872,0.1750032901763916,3251.3904135227203,1408.4830827713013
25,KNN,0.7339979698473655,0.7332872232568644,0.7332668686138218,0.99909008152416,0.7332872232568644,0.1961669921875,3240.318253993988,1397.9600222110748
26,KNN,0.7332228346126458,0.7324623442249492,0.7324442651231671,0.9991054695535689,0.7324623442249492,0.16637039184570312,3268.797155857086,1404.8442487716675
27,KNN,0.7341008571141863,0.7333571442744607,0.7333352162593713,0.99909008152416,0.7333571442744607,0.16322636604309082,3244.3347721099854,1434.2425377368927
28,KNN,0.7342962759395217,0.7334960414310375,0.7334962232452434,0.9991200476866933,0.7334960414310375,0.1718580722808838,3311.6715087890625,1434.4043486118317
29,KNN,0.7344322565905488,0.7337473791429384,0.7337476361329687,0.9990872468871637,0.7337473791429384,0.1975712776184082,3271.9242973327637,1410.1610474586487
