,Model,Precision,Recall,f1 Score,Accuracy(Training),Accuracy(Test),Training Time,Testing Time (Train),TestingTime
0,RF,0.9355146107421715,0.9353759719257666,0.9354284998671389,0.9992638042772243,0.9353759719257666,4904.669904232025,667.8384854793549,288.2387890815735
1,RF,0.9352785547447489,0.9351076263987746,0.9351723544760989,0.9992488211959576,0.9351076263987746,5079.49688577652,721.9861731529236,302.8243730068207
2,RF,0.9351786286222955,0.9350121936585416,0.9350724062281001,0.999250440988527,0.9350121936585416,5082.623088121414,730.5744533538818,303.9013178348541
3,RF,0.9352507364083075,0.9350660517396633,0.9351323666361548,0.9992532756255234,0.9350660517396633,5147.501195669174,783.069066286087,334.5698459148407
4,RF,0.9351447900396879,0.9349564458201877,0.9350249558393764,0.9992391024405415,0.9349564458201877,5213.035645008087,715.4216859340668,305.88006043434143
5,RF,0.9354764443382061,0.9352994367578569,0.9353670073446759,0.999248011299673,0.9352994367578569,5110.7422823905945,699.9311556816101,302.73684787750244
6,RF,0.9352514907028777,0.9350679414968956,0.9351368012216696,0.9992601597439432,0.9350679414968956,5132.342554330826,730.6745760440826,299.3555009365082
7,RF,0.9352985044802872,0.9351406971503405,0.9351987272102574,0.9992557053143775,0.9351406971503405,5086.359032869339,706.7460725307465,298.7364590167999
8,RF,0.9353538243827701,0.9351860513239166,0.9352498634388958,0.9992569201588045,0.9351860513239166,5083.713505983353,733.8424508571625,302.9498643875122
9,RF,0.9350791458587819,0.9349129814038439,0.934974877125445,0.999264614173509,0.9349129814038439,4999.066410303116,731.3805365562439,310.4324223995209
10,RF,0.9359091660450725,0.935748254100537,0.9358067379513276,0.9992488211959576,0.935748254100537,5035.197074890137,740.3503797054291,310.2292900085449
11,RF,0.9353413002400518,0.9351784922949873,0.9352386990451842,0.9992553003662351,0.9351784922949873,5030.679833889008,700.1764395236969,299.3335702419281
12,RF,0.935629997175578,0.9354808534521613,0.935536666606484,0.9992322183221217,0.9354808534521613,5083.543123960495,720.9751560688019,302.8463604450226
13,RF,0.9355687136141465,0.9354005387697869,0.9354642020671418,0.9992573251069468,0.9354005387697869,5058.17803144455,702.2639865875244,302.42316007614136
14,RF,0.9352579028599227,0.935081169797522,0.9351448228684703,0.9992605646920856,0.935081169797522,5066.156217813492,732.9608449935913,294.428738117218
15,RF,0.935232686961631,0.9350556580748854,0.9351204638105295,0.9992593498476585,0.9350556580748854,5007.095354795456,717.0421180725098,302.23791790008545
16,RF,0.9354554345772094,0.9352909328503114,0.9353507857575128,0.9992597547958009,0.9352909328503114,5064.457465648651,725.8536610603333,303.7017664909363
17,RF,0.9350407555782443,0.9348695169875002,0.9349307325619951,0.9992617795365125,0.9348695169875002,4987.877972841263,705.9509692192078,303.42555809020996
18,RF,0.9351243726073317,0.9349536111843392,0.9350164222971145,0.999264614173509,0.9349536111843392,5079.563676357269,724.6377823352814,334.2096498012543
19,RF,0.9353533485379969,0.9351926654742299,0.9352536544234711,0.999251655832954,0.9351926654742299,4910.312241315842,706.184629201889,305.12721943855286
20,RF,0.9351247366804578,0.934929989218935,0.9350031981701631,0.9992548954180928,0.934929989218935,5025.913909435272,687.0009911060333,307.063889503479
21,RF,0.9351345600693798,0.9349810126642081,0.9350387035047192,0.9992800022029179,0.9349810126642081,5063.846528053284,739.915486574173,309.5656623840332
22,RF,0.9352637346672398,0.9350934532195322,0.9351553129487242,0.9992427469738225,0.9350934532195322,5125.288773298264,697.0575098991394,301.2388582229614
23,RF,0.935310203046554,0.9351293586069466,0.9351977107793837,0.9992597547958009,0.9351293586069466,5124.372984170914,722.6359355449677,300.2751166820526
24,RF,0.9356179078702326,0.9354421134288984,0.9355063832448636,0.9992763576696368,0.9354421134288984,5026.056694030762,716.9958717823029,302.8343617916107
25,RF,0.9352215589794971,0.9350537683176531,0.9351166327053669,0.999246796455246,0.9350537683176531,5014.434050559998,730.2772080898285,302.18510246276855
26,RF,0.9352306267855599,0.9350698312541279,0.935128048733814,0.9992621844846549,0.9350698312541279,5029.658372879028,790.345823764801,339.1002185344696
27,RF,0.9359264300952708,0.9357614824011633,0.9358226075102006,0.9992605646920856,0.9357614824011633,5351.827722072601,731.5867094993591,309.8221130371094
28,RF,0.9351603103347158,0.9349904614503698,0.9350539452851926,0.9992816219954873,0.9349904614503698,5020.103785037994,700.3282952308655,299.7745201587677
29,RF,0.9355087492240463,0.9353362870238875,0.9354000256300002,0.9992532756255234,0.9353362870238875,5119.385749578476,725.5171329975128,298.8583116531372
