,Model,Precision,Recall,f1 Score,Accuracy(Training),Accuracy(Test),Training Time,Testing Time (Train),TestingTime
0,XGB,0.961353921156284,0.9613487953270083,0.9613483158563301,0.9992638042772243,0.9613487953270083,11427.137351989746,147.71933364868164,65.17508602142334
1,XGB,0.9615187347561795,0.96150375542006,0.961507531010166,0.9992484162478154,0.96150375542006,11782.068196773529,77.44502878189087,33.39345717430115
2,XGB,0.9615724552571376,0.9615689520445756,0.9615690854445841,0.9992500360403846,0.9615689520445756,11398.470231294632,76.04078984260559,32.95948624610901
3,XGB,0.9614543068996038,0.9614442280672414,0.9614459908959829,0.9992524657292388,0.9614442280672414,11774.691714525223,84.93798279762268,36.932262659072876
4,XGB,0.961516375779895,0.9615084798131408,0.9615099860341169,0.9992386974923991,0.9615084798131408,11778.159197330475,86.66057848930359,37.32530331611633
5,XGB,0.9614947768136541,0.9614876924835851,0.9614883494018553,0.9992472014033883,0.9614876924835851,12044.389243602753,85.43746542930603,37.49602937698364
6,XGB,0.9614989174999715,0.9614895822408175,0.9614925241988435,0.9992597547958009,0.9614895822408175,11999.292957544327,86.08762621879578,37.051846504211426
7,XGB,0.9618136832671496,0.9618098960916985,0.9618095336955957,0.9992318133739794,0.9618098960916985,11755.943095684052,86.76332569122314,37.03017330169678
8,XGB,0.9614907042106814,0.9614839129691204,0.9614843803937694,0.9992569201588045,0.9614839129691204,12477.469475984573,96.50792026519775,40.72500705718994
9,XGB,0.9611369583688115,0.9611220244591279,0.9611262417055926,0.9992597547958009,0.9611220244591279,12408.18846654892,93.00270581245422,40.0310754776001
10,XGB,0.9614915390625597,0.9614791885760395,0.9614820342779525,0.9992548954180928,0.9614791885760395,11820.040856599808,86.32526111602783,37.821486711502075
11,XGB,0.9617384787628549,0.9617352506810213,0.9617349268302304,0.9992488211959576,0.9617352506810213,11836.845106363297,86.86141085624695,36.55024266242981
12,XGB,0.9614651101825956,0.9614584012464839,0.9614587307366442,0.999264614173509,0.9614584012464839,11912.862983703613,86.2144124507904,37.41418981552124
13,XGB,0.9615169358879289,0.9615141490848378,0.9615130255213888,0.9992565152106622,0.9615141490848378,11765.613868713379,86.1736114025116,37.34551978111267
14,XGB,0.961390802837801,0.9613837558358066,0.9613850346163404,0.9992553003662351,0.9613837558358066,11993.555787801743,85.69352436065674,37.01652503013611
15,XGB,0.9613086135141461,0.961302496274816,0.9613034910761507,0.9992589448995162,0.961302496274816,12179.14344072342,90.11361360549927,38.81520891189575
16,XGB,0.9615954825783842,0.9615916291313636,0.9615914854653688,0.9992593498476585,0.9615916291313636,12051.199079990387,89.19430351257324,38.567622661590576
17,XGB,0.9613585208467857,0.961352574841473,0.9613533722815257,0.9992609696402279,0.961352574841473,12037.688864946365,89.90713477134705,39.04577922821045
18,XGB,0.9615732104482633,0.9615698969231917,0.961569503005998,0.9992642092253666,0.9615698969231917,12031.421072006226,89.17551946640015,38.27793049812317
19,XGB,0.9613642325890811,0.96135824411317,0.9613588072074837,0.999251655832954,0.96135824411317,11976.73936867714,91.13460111618042,38.489537954330444
20,XGB,0.9613142252155619,0.9613034411534322,0.9613057535625273,0.9992548954180928,0.9613034411534322,12113.456453084946,88.84234857559204,38.79295563697815
21,XGB,0.9614389081146464,0.9614347792810797,0.9614344587055934,0.9992800022029179,0.9614347792810797,12287.385164022446,111.39747190475464,46.986191511154175
22,XGB,0.9613634986296224,0.9613620236276347,0.961361154851861,0.9992415321293955,0.9613620236276347,12168.16300868988,92.44628953933716,40.09042239189148
23,XGB,0.9613182637287161,0.9613053309106646,0.9613092576373558,0.9992593498476585,0.9613053309106646,11749.301738262177,77.5344591140747,33.961546182632446
24,XGB,0.9613676973455165,0.9613601338704023,0.9613616823486656,0.9992759527214945,0.9613601338704023,11501.991097688675,78.11111807823181,34.413265228271484
25,XGB,0.9613623275638479,0.9613544645987053,0.9613556146781936,0.9992459865589612,0.9613544645987053,11538.446233510971,80.38265109062195,34.076539516448975
26,XGB,0.9616961241189903,0.9616908413860613,0.9616915563732069,0.9992617795365125,0.9616908413860613,11510.344995260239,79.34576988220215,35.7779905796051
27,XGB,0.962070533065517,0.9620621786822156,0.9620636326710884,0.9992605646920856,0.9620621786822156,11579.204870462418,75.93024778366089,34.7892005443573
28,XGB,0.9614475941965217,0.961436669038312,0.9614391441250087,0.9992816219954873,0.961436669038312,11840.266637802124,92.16743659973145,39.78125715255737
29,XGB,0.9617855568461464,0.9617739907042842,0.961777061433029,0.999252870677381,0.9617739907042842,11990.687333583832,91.59390830993652,39.63127899169922
